timestamp,ticker,price_krw,price_usd,chg_30m_pct,vol_z,cvd_1h,rsi,rsi_delta,bb_percent,ls_ratio,atr_pct,oi_change_pct,funding,vol_24h_m,ema20,ema60,ema120,box_high,box_low,recent_pct,long_score,short_score,prepump_score,preshort_score,interval,ema_l,ema_s,pp_l,pp_s,cvd_l,cvd_s,oi_sc,m30_l,m30_s,volz_sc,liquidity_sc
2026-07-11 21:09:22,FCT2,11.73,,0.0,0.9,-317626.35,51.3,-9.6,53.5,,0.53,0.0,0.0,18,11.73023928,11.74414956,11.8059541,11.85,11.57,-2.736,8,46,36,37,1h,0,20,0,5,0,15,0,0,0,3,5
2026-07-11 21:09:22,EL,1.851,,0.0,-0.6,34237.04,48.7,-0.3,26.3,,0.36,0.0,0.0,22,1.8536745,1.85349765,1.86334923,1.875,1.835,-0.697,27,8,49,17,1h,0,0,5,0,15,0,0,0,0,3,5
2026-07-11 21:09:22,MEV,2.77,,0.0,-0.2,-494028.98,62.8,11.8,110.2,,0.8,0.0,0.0,27,2.7185276,2.72686989,2.74229165,2.785,2.678,-0.539,27,27,21,50,1h,0,0,20,5,0,15,0,0,0,3,5
2026-07-11 21:09:22,COS,0.371,0.00024196,-0.536,-0.4,151771.42,47.0,-9.5,47.1,0.875,0.81,0.0,0.0,309,0.37259881,0.37350807,0.37822589,0.3781,0.364,-0.723,17,46,51,22,1h,0,20,5,0,5,5,0,0,15,3,5
2026-07-11 21:14:28,BCH,368100.0,246.64,0.409,-1.3,16.55,56.1,8.2,77.2,2.076,0.47,0.05,0.002,630,366129.48476377,362733.35387966,358685.00651064,371200.0,363100.0,6.696,41,12,36,27,1h,20,0,0,5,15,0,0,0,0,3,5
2026-07-11 21:14:28,XRP,1652.0,1.1084,-0.06,-1.6,-30218.6,55.5,-0.2,73.5,2.836,0.27,-0.02,0.01,16115,1649.49625555,1648.00728886,1654.17587112,1655.0,1636.0,2.228,3,22,17,57,1h,0,0,0,5,0,15,0,0,0,3,0
2026-07-11 21:14:28,ICX,37.39,0.02511,0.809,-0.4,0.0,56.0,0.5,71.9,2.383,0.75,0.12,0.005,3,37.09293733,36.95290073,37.11542723,37.97,36.7,0.295,22,12,30,17,1h,0,0,0,5,5,5,0,15,0,3,0
2026-07-11 21:14:28,ETC,10560.0,7.08,0.0,-0.6,1823.94,49.0,-5.9,40.2,1.535,0.25,0.18,0.01,176,10572.57011984,10536.54599354,10545.87401839,10630.0,10520.0,2.724,31,3,39,17,1h,10,0,5,0,15,0,0,0,0,3,0
2026-07-11 21:14:28,QTUM,1033.0,0.6918,0.194,-0.3,5481.17,49.4,7.3,57.4,2.018,0.28,0.23,0.01,44,1032.69177275,1035.92666398,1040.36666015,1037.0,1027.0,0.291,17,17,40,22,1h,0,10,0,5,15,0,0,0,0,3,0
2026-07-11 21:14:28,BTC,95703000.0,64192.1,0.086,-1.9,0.36,57.6,-2.5,69.9,1.259,0.17,-0.0,0.0042,14237,95569843.51603638,95071434.23597218,94675073.67839505,95813000.0,94903000.0,3.412,36,8,39,27,1h,20,0,0,5,15,0,0,0,0,3,0
2026-07-11 21:14:28,ETH,2684000.0,1799.61,0.075,-0.8,48.69,60.7,-1.9,77.2,1.684,0.3,0.09,0.0052,15602,2675742.23260746,2656133.36741382,2643138.46767006,2689000.0,2654000.0,3.47,41,12,32,30,1h,20,0,0,5,15,0,0,0,0,3,5
2026-07-11 21:14:28,A,114.0,0.0768,-0.87,-1.1,114723.08,44.1,-3.1,20.6,1.052,0.94,-0.08,0.005,103,115.17634482,114.9707059,113.21568724,119.0,113.0,-2.564,27,22,55,35,1h,0,0,5,0,15,0,0,0,15,3,5
2026-07-11 21:14:28,TRX,493.0,0.33099,0.0,-1.0,-26535.64,50.8,6.5,63.1,1.387,0.29,1.17,-0.0026,1146,492.73815759,493.28730381,493.0306224,494.0,490.0,0.612,10,38,43,20,1h,0,10,0,5,0,15,7,0,0,3,0
2026-07-11 21:14:28,KNC,164.0,0.1113,0.0,-0.9,-15204.84,59.1,11.0,98.7,2.631,0.61,0.6,0.01,38,163.37217965,163.08848771,163.3093382,165.0,163.0,2.5,27,27,46,27,1h,0,0,20,5,0,15,0,0,0,3,5
2026-07-11 21:14:28,WAXP,6.231,0.004172,1.515,2.1,1385392.26,78.0,19.5,115.4,2.506,0.76,-3.85,0.005,100,6.05119295,6.03079011,6.0849045,6.297,5.958,3.85,48,24,35,50,1h,0,0,0,5,15,0,0,15,0,15,5
2026-07-11 21:14:28,ELF,91.93,,0.0,-0.4,2315.79,53.2,6.2,70.5,,0.44,0.0,0.0,5,91.55191883,91.66822397,91.96126416,94.57,89.92,-0.895,17,8,37,17,1h,0,0,0,5,15,0,0,0,0,3,0
2026-07-11 21:14:28,GLM,149.0,0.10043,0.0,-0.2,0.0,54.3,-0.5,57.7,1.616,0.53,0.42,0.005,25,148.42131107,147.89586379,148.84952411,151.0,147.0,-2.614,12,17,33,17,1h,0,0,0,5,5,5,0,0,0,3,5
2026-07-11 21:14:28,POWR,65.68,0.04479,-0.665,-0.1,-14995.13,58.8,-6.5,71.9,1.087,0.65,-1.02,0.005,27,65.31049781,64.93057979,65.17672547,66.97,63.68,3.498,8,41,24,48,1h,0,0,0,5,0,15,0,0,15,3,5
2026-07-11 21:14:28,ZIL,4.526,0.003065,1.731,3.8,-6478707.61,64.4,17.5,107.3,1.709,0.65,1.56,0.005,92,4.46852481,4.47283994,4.48985491,4.689,4.417,2.677,59,45,31,38,1h,0,0,20,5,0,15,7,15,0,15,5
2026-07-11 21:14:28,STEEM,61.15,0.04109,0.0,1.9,2735.28,59.0,3.7,93.4,2.07,0.41,0.37,0.005,24,60.67887691,60.73388719,61.06150344,61.24,60.28,-2.534,48,19,34,27,1h,0,0,20,5,15,0,0,0,0,10,5
2026-07-11 21:14:28,WAVES,392.0,0.75728182,-0.254,1.5,1725.9,54.8,7.6,66.4,,0.4,0.0,0.0,45,390.23438753,389.45320176,391.13212052,394.0,388.0,1.292,29,19,41,22,1h,0,0,0,5,15,0,0,0,0,10,5
2026-07-11 21:14:28,BAT,129.0,0.0866,0.781,0.0,0.0,58.5,8.7,95.3,1.472,0.72,-0.08,0.01,5,127.46549436,127.35468998,127.65086481,129.0,126.0,-0.769,41,12,34,37,1h,0,0,20,5,5,5,0,15,0,3,0
2026-07-11 21:14:28,ZRX,130.0,0.0892,0.0,-0.4,0.0,46.6,-7.8,33.6,1.824,0.71,-0.23,0.005,10,130.84220773,130.39321766,129.63672723,134.0,129.0,-1.515,17,12,41,30,1h,0,0,5,0,5,5,0,0,0,3,5
2026-07-11 21:14:28,SNT,11.03,0.02531,0.0,-0.1,-94086.62,58.0,7.0,92.6,,0.46,0.0,0.0,9,10.96027927,10.92694807,10.91299419,11.08,10.85,-0.631,41,22,36,39,1h,20,0,20,5,0,15,0,0,0,3,0
2026-07-11 21:14:28,THETA,215.0,0.1468,-1.818,0.1,205241.3,55.0,-14.4,61.2,1.468,2.76,-0.71,-0.082,259,213.55045022,209.33451215,208.38255528,232.0,201.0,1.415,41,27,52,35,1h,20,0,0,5,15,0,0,0,15,3,5
